calories,fat,carbs,protein,cholesterol,sodium,prep_time,made_it,number_of_rating,rating_score,num_reviews,photos
72.0,0.1,18.6,0.3,0.0,6.0,5.0,33,12.0,4.33,9,4
58.0,0.0,14.7,0.4,0.0,4507.0,60.0,14,,4.75,7,3
46.0,0.1,2.8,0.3,0.0,2652.0,267.0,17,,5.0,5,2
38.0,0.1,9.2,0.6,0.0,3423.0,150.0,152,,4.89,30,3
,,,,,,70.0,580,253.0,4.77,190,17
118.0,0.0,31.4,0.2,0.0,1.0,15.0,167,122.0,4.58,95,9
108.0,0.1,28.7,0.3,0.0,8.0,485.0,20,23.0,4.48,15,1
166.0,2.3,35.8,0.7,9.0,62.0,10.0,26,18.0,4.56,14,1
175.0,0.4,42.8,1.8,0.0,14.0,1.0,13,7.0,3.29,6,2
91.0,0.3,22.6,1.0,0.0,4.0,5.0,6,,3.33,4,1
70.0,0.2,17.6,0.5,0.0,9.0,125.0,11,,4.56,6,1
,,,,,,10.0,9,9.0,4.22,7,1
227.0,0.0,46.0,9.0,4.0,72.0,5.0,8,,5.0,2,1
107.0,0.2,26.5,0.6,0.0,8.0,10.0,51,54.0,4.54,40,2
196.0,0.1,50.4,1.0,0.0,1.0,5.0,9,,5.0,4,1
28.0,0.0,7.2,0.2,0.0,0.0,10.0,13,,4.6,10,3
,,,,,,5.0,6,,4.5,4,2
168.0,0.0,41.8,0.0,0.0,10.0,10.0,9,,4.5,4,1
,,,,,,5.0,7,,4.5,5,1
,,,,,,2.0,7,,4.43,6,1
,,,,,,1.0,92,,4.93,52,7
,,,,,,5.0,12,14.0,4.21,12,1
300.0,0.1,39.8,0.0,0.0,5.0,5.0,6,,3.67,3,1
,,,,,,5.0,10,,3.8,5,1
,,,,,,5.0,31,13.0,4.38,12,5
25.0,0.1,6.7,0.5,0.0,2.0,10.0,8,8.0,4.5,8,2
53.0,0.2,13.4,0.8,0.0,10.0,10.0,9,8.0,4.13,7,3
156.0,0.3,41.2,1.6,0.0,5.0,75.0,29,23.0,4.7,15,3
105.0,0.2,25.6,1.5,0.0,4.0,5.0,6,,3.4,4,2
288.0,5.6,56.2,4.2,6.0,334.0,45.0,31,19.0,4.16,17,1
23.0,0.1,5.9,0.2,0.0,0.7014857369650614,35.0,82,59.0,4.63,46,15
104.0,0.2,26.2,0.0,0.0,5.0,2.0,9,9.0,4.0,8,2
184.0,0.1,46.1,2.1,0.0,87.0,,44,26.0,4.65,21,2
216.0,3.9,47.0,1.3,0.0,21.0,15.0,59,43.0,4.72,37,2
197.0,2.6,40.8,4.7,10.0,58.0,2.0,26,27.0,3.81,19,2
199.0,9.0,28.0,2.9,28.0,72.0,5.0,53,65.0,4.65,50,4
219.0,9.1,29.6,5.4,32.0,84.0,3.0,74,68.0,4.74,58,8
81.0,2.3,14.7,0.7,0.0,22.0,10.0,153,182.0,4.49,145,6
56.0,1.8,9.9,0.6,0.27797073087139645,32.0,,126,66.0,4.52,57,5
103.0,4.3,12.0,4.0,14.0,59.0,10.0,11,12.0,4.0,9,1
70.0,1.5,13.1,1.3,0.27797073087139645,22.0,10.0,24,18.0,4.28,18,1
39.0,0.9,7.4,0.4,0.0,17.0,5.0,226,152.0,4.67,130,13
,,,,,,15.0,47,28.0,4.79,24,3
,,,,,,,14,,4.86,7,2
,,,,,,25.0,18,17.0,4.71,13,2
,,,,,,75.0,22,27.0,4.48,20,1
169.0,0.0,25.5,0.1,0.0,0.7014857369650614,60.0,126,77.0,4.74,62,4
24.0,0.9,3.6,0.4,0.0,17.0,5.0,62,39.0,4.33,31,2
119.0,0.0,29.9,0.0,0.0,16.0,1.0,72,37.0,4.22,29,4
94.0,0.0,24.2,0.2,0.0,20.0,10.0,13,15.0,4.73,13,1
89.0,0.0,22.7,0.2,0.0,19.0,10.0,23,,4.41,15,1
84.0,0.0,21.8,0.0,0.0,21.0,2.0,68,44.0,4.66,32,5
292.0,2.3,68.3,0.7,9.0,59.0,5.0,8,,5.0,5,5
170.0,0.3,41.9,0.9,0.0,21.0,1.0,80,56.0,4.66,46,8
106.0,0.0,27.1,0.2,0.0,24.0,1.0,33,,4.91,16,5
,,,,,,15.0,61,8.0,3.75,6,2
,,,,,,5.0,14,,4.67,5,1
,,,,,,510.0,11,14.0,4.57,10,1
30.0,0.1,7.7,0.9,0.0,361.0,5.0,15,,4.83,5,2
,,,,,,10.0,22,15.0,4.2,13,2
,,,,,,,45,18.0,4.39,16,4
138.0,1.1,10.4,1.9,0.0,805.0,140.0,119,9.0,4.11,7,2
,,,,,,5.0,14,9.0,3.22,8,2
,,,,,,2.0,14,19.0,2.0,14,1
,,,,,,2.0,108,51.0,4.45,43,18
126.0,0.2,7.1,1.3,0.0,558.0,5.0,15,11.0,4.27,9,2
50.0,0.3,12.8,1.7,0.0,889.0,10.0,79,17.0,4.59,16,1
27.0,0.1,6.1,1.5,0.0,774.0,35.0,63,37.0,4.78,31,3
242.0,2.1,20.6,3.2,0.0,2019.0,10.0,18,9.0,4.56,8,3
,,,,,,5.0,67,44.0,4.43,35,2
,,,,,,10.0,189,156.0,4.66,116,8
545.0,23.9,76.7,10.4,59.0,341.0,10.0,15,,4.83,7,3
201.0,8.5,27.8,4.4,34.0,84.0,10.0,37,,5.0,3,1
225.0,10.9,24.2,8.3,44.0,128.0,5.0,35,20.0,4.0,19,9
412.0,18.7,52.5,10.1,70.0,183.0,10.0,115,44.0,4.77,37,12
249.0,11.0,33.2,5.7,21.0,208.0,10.0,249,56.0,4.64,43,19
558.0,19.9,87.4,13.8,78.0,209.0,5.0,8,,3.0,2,1
115.0,2.2,20.8,3.7,8.0,43.0,5.0,8,,4.67,2,1
315.0,12.3,52.9,1.7,0.0,14.0,50.0,7,7.0,3.14,6,5
180.0,0.7,48.5,1.7,0.0,5.0,10.0,7,,5.0,5,1
,,,,,,10.0,6,7.0,3.29,6,1
207.0,3.1,41.6,5.9,9.0,75.0,5.0,20,16.0,4.56,13,5
151.0,2.2,32.4,2.1,9.0,44.0,15.0,78,68.0,4.49,45,7
255.0,3.9,52.1,6.7,15.0,78.0,10.0,19,17.0,3.41,14,3
